Jmin,n,l,a,actfn
0.11549008637666702,1,1,6.283185307179586,tanh
0.11466914415359496,2,1,6.283185307179586,tanh
0.05872226133942604,4,1,6.283185307179586,tanh
0.09270251542329788,8,1,6.283185307179586,tanh
0.06864909827709198,16,1,6.283185307179586,tanh
0.06381793320178986,32,1,6.283185307179586,tanh
0.06998225301504135,64,1,6.283185307179586,tanh
0.1139162704348564,128,1,6.283185307179586,tanh
0.11566779762506484,256,1,6.283185307179586,tanh
0.11558959633111952,1,2,6.283185307179586,tanh
0.011863321997225285,2,2,6.283185307179586,tanh
0.02140751481056213,4,2,6.283185307179586,tanh
0.005674904212355614,8,2,6.283185307179586,tanh
0.0027500758878886695,16,2,6.283185307179586,tanh
0.0024980499874800444,32,2,6.283185307179586,tanh
0.002295000944286585,64,2,6.283185307179586,tanh
0.0027421039994806047,128,2,6.283185307179586,tanh
0.0024545560590922832,256,2,6.283185307179586,tanh
0.1159662827849388,1,4,6.283185307179586,tanh
0.010548069141805172,2,4,6.283185307179586,tanh
0.004855793435126543,4,4,6.283185307179586,tanh
0.002146902261301875,8,4,6.283185307179586,tanh
0.00103380240034312,16,4,6.283185307179586,tanh
0.001204754924401641,32,4,6.283185307179586,tanh
8.863965922500938e-05,64,4,6.283185307179586,tanh
0.0005859762313775718,128,4,6.283185307179586,tanh
0.0008061906555667518,256,4,6.283185307179586,tanh
0.08275701850652695,1,8,6.283185307179586,tanh
0.010386618785560133,2,8,6.283185307179586,tanh
0.0008103788131847978,4,8,6.283185307179586,tanh
7.054047455312684e-05,8,8,6.283185307179586,tanh
7.058016490191221e-05,16,8,6.283185307179586,tanh
5.094016887596808e-05,32,8,6.283185307179586,tanh
5.082604184281081e-05,64,8,6.283185307179586,tanh
0.0016158703947439788,128,8,6.283185307179586,tanh
2.166471313103102e-05,256,8,6.283185307179586,tanh
0.08041110634803773,1,16,6.283185307179586,tanh
0.0021587067749351263,2,16,6.283185307179586,tanh
0.00026761338813230395,4,16,6.283185307179586,tanh
0.00021767981525044888,8,16,6.283185307179586,tanh
0.00010557679343037309,16,16,6.283185307179586,tanh
0.0005224792403168976,32,16,6.283185307179586,tanh
8.04758965387009e-05,64,16,6.283185307179586,tanh
0.12159208953380583,128,16,6.283185307179586,tanh
0.12601467967033386,256,16,6.283185307179586,tanh
0.1194981038570404,1,32,6.283185307179586,tanh
0.008954325690865517,2,32,6.283185307179586,tanh
0.0008615243714302777,4,32,6.283185307179586,tanh
0.0006431584479287267,8,32,6.283185307179586,tanh
0.00013058081094641238,16,32,6.283185307179586,tanh
0.0002511340717319399,32,32,6.283185307179586,tanh
0.08310659229755402,64,32,6.283185307179586,tanh
0.12070598453283309,128,32,6.283185307179586,tanh
0.0850434899330139,256,32,6.283185307179586,tanh
0.11953814327716827,1,64,6.283185307179586,tanh
0.11950966715812684,2,64,6.283185307179586,tanh
0.08198145776987076,4,64,6.283185307179586,tanh
0.0823657438158989,8,64,6.283185307179586,tanh
0.09979227930307388,16,64,6.283185307179586,tanh
0.08376370370388031,32,64,6.283185307179586,tanh
0.08633849024772643,64,64,6.283185307179586,tanh
0.08770056813955307,128,64,6.283185307179586,tanh
0.08864188194274902,256,64,6.283185307179586,tanh
0.1118493229150772,1,1,6.283185307179586,relu
0.10727632790803908,2,1,6.283185307179586,relu
0.029589606449007988,4,1,6.283185307179586,relu
0.024046629667282104,8,1,6.283185307179586,relu
